"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions1","correct_instructions2","correct_instructions3","correct_keyboard_response","correct_response","count_block_loop","count_block_sequence","count_end_of_experiment","count_error","count_experiment","count_experimental_loop","count_fixation_dot","count_fraction","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_rest","count_trial_sequence","datetime","denomColor","denomSalience","denominator","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block_loop","live_row_experimental_loop","logfile","mouse_backend","numColor","numSalience","numerator","opensesame_codename","opensesame_version","repeat_cycle","response","response_end_of_experiment","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_rest","response_time","response_time_end_of_experiment","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","response_time_rest","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_block_loop","time_block_sequence","time_end_of_experiment","time_error","time_experiment","time_experimental_loop","time_fixation_dot","time_fraction","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_rest","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","2819","2819","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Thu Apr 26 09:53:39 2018","#757575","low","3","The main experiment item","yes","","experiment.osexp","/Users/tom/github/sft-fraction/procedure","no","mono","no","24","no","white","no","yes","800","legacy","0","0","0","/Users/tom/github/sft-fraction/results/data/subject-4a.csv","legacy","#000000","high","2","Jazzy James","3.1.9","0","a","NA","space","space","space","a","NA","2819","NA","101826","10008","16159","2819","NA","2","legacy","1024","2","48000","-16","experiment","4","even","absent","129358","129358","NA","NA","1288","129342","129406","129923","1313","103156","113181","129923","132743","NA","129390","Fraction component detection task","1","2819","1","yes","1280"
"100","100","2229.5","2229.5","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","0","0","0","1","0","0","1","1","0","0","0","1","1","0","1","Thu Apr 26 09:53:39 2018","#000000","high","7","The main experiment item","yes","","experiment.osexp","/Users/tom/github/sft-fraction/procedure","no","mono","no","24","no","white","no","yes","800","legacy","1","1","0","/Users/tom/github/sft-fraction/results/data/subject-4a.csv","legacy","#757575","low","3","Jazzy James","3.1.9","0","l","NA","space","space","space","l","NA","1640","NA","101826","10008","16159","1640","NA","2","legacy","1024","2","48000","-16","experiment","4","even","present","129358","129358","NA","NA","1288","129342","132834","133350","1313","103156","113181","133350","134996","NA","132819","Fraction component detection task","2","4459","2","yes","1280"
"100","100","1852.33333333","1852.33333333","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","0","0","0","2","0","0","2","2","0","0","0","2","2","0","2","Thu Apr 26 09:53:39 2018","#757575","low","8","The main experiment item","yes","","experiment.osexp","/Users/tom/github/sft-fraction/procedure","no","mono","no","24","no","white","no","yes","800","legacy","2","2","0","/Users/tom/github/sft-fraction/results/data/subject-4a.csv","legacy","#000000","high","2","Jazzy James","3.1.9","0","l","NA","space","space","space","l","NA","1098","NA","101826","10008","16159","1098","NA","2","legacy","1024","2","48000","-16","experiment","4","even","present","129358","129358","NA","NA","1288","129342","135078","135595","1313","103156","113181","135596","136696","NA","135062","Fraction component detection task","3","5557","3","yes","1280"
"100","100","1567.5","1567.5","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","0","0","0","3","0","0","3","3","0","0","0","3","3","0","3","Thu Apr 26 09:53:39 2018","#000000","high","7","The main experiment item","yes","","experiment.osexp","/Users/tom/github/sft-fraction/procedure","no","mono","no","24","no","white","no","yes","800","legacy","3","3","0","/Users/tom/github/sft-fraction/results/data/subject-4a.csv","legacy","#757575","low","6","Jazzy James","3.1.9","0","l","NA","space","space","space","l","NA","713","NA","101826","10008","16159","713","NA","2","legacy","1024","2","48000","-16","experiment","4","even","present","129358","129358","NA","NA","1288","129342","136781","137300","1313","103156","113181","137300","138014","NA","136764","Fraction component detection task","4","6270","4","yes","1280"
"100","100","1445.6","1445.6","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","0","0","0","4","0","0","4","4","0","0","0","4","4","0","4","Thu Apr 26 09:53:39 2018","#000000","high","2","The main experiment item","yes","","experiment.osexp","/Users/tom/github/sft-fraction/procedure","no","mono","no","24","no","white","no","yes","800","legacy","4","4","0","/Users/tom/github/sft-fraction/results/data/subject-4a.csv","legacy","#757575","low","7","Jazzy James","3.1.9","0","l","NA","space","space","space","l","NA","958","NA","101826","10008","16159","958","NA","2","legacy","1024","2","48000","-16","experiment","4","even","present","129358","129358","NA","NA","1288","129342","138101","138624","1313","103156","113181","138624","139583","NA","138081","Fraction component detection task","5","7228","5","yes","1280"
"100","100","1311","1311","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","0","0","0","5","0","0","5","5","0","0","0","5","5","0","5","Thu Apr 26 09:53:39 2018","#000000","high","8","The main experiment item","yes","","experiment.osexp","/Users/tom/github/sft-fraction/procedure","no","mono","no","24","no","white","no","yes","800","legacy","5","5","0","/Users/tom/github/sft-fraction/results/data/subject-4a.csv","legacy","#757575","low","2","Jazzy James","3.1.9","0","l","NA","space","space","space","l","NA","638","NA","101826","10008","16159","638","NA","2","legacy","1024","2","48000","-16","experiment","4","even","present","129358","129358","NA","NA","1288","129342","139667","140184","1313","103156","113181","140184","140824","NA","139650","Fraction component detection task","6","7866","6","yes","1280"
"100","100","1243.71428571","1243.71428571","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","0","0","0","6","0","0","6","6","0","0","0","6","6","0","6","Thu Apr 26 09:53:39 2018","#000000","high","4","The main experiment item","yes","","experiment.osexp","/Users/tom/github/sft-fraction/procedure","no","mono","no","24","no","white","no","yes","800","legacy","6","6","0","/Users/tom/github/sft-fraction/results/data/subject-4a.csv","legacy","#000000","high","6","Jazzy James","3.1.9","0","l","NA","space","space","space","l","NA","840","NA","101826","10008","16159","840","NA","2","legacy","1024","2","48000","-16","experiment","4","even","present","129358","129358","NA","NA","1288","129342","140904","141421","1313","103156","113181","141421","142263","NA","140888","Fraction component detection task","7","8706","7","yes","1280"
"100","100","1194","1194","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","0","0","0","7","0","0","7","7","0","0","0","7","7","0","7","Thu Apr 26 09:53:39 2018","#000000","high","8","The main experiment item","yes","","experiment.osexp","/Users/tom/github/sft-fraction/procedure","no","mono","no","24","no","white","no","yes","800","legacy","7","7","0","/Users/tom/github/sft-fraction/results/data/subject-4a.csv","legacy","#757575","low","4","Jazzy James","3.1.9","0","l","NA","space","space","space","l","NA","846","NA","101826","10008","16159","846","NA","2","legacy","1024","2","48000","-16","experiment","4","even","present","129358","129358","NA","NA","1288","129342","142343","142863","1313","103156","113181","142864","143712","NA","142328","Fraction component detection task","8","9552","8","yes","1280"
"100","100","1167","1167","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","0","0","0","8","0","0","8","8","0","0","0","8","8","0","8","Thu Apr 26 09:53:39 2018","#000000","high","2","The main experiment item","yes","","experiment.osexp","/Users/tom/github/sft-fraction/procedure","no","mono","no","24","no","white","no","yes","800","legacy","8","8","0","/Users/tom/github/sft-fraction/results/data/subject-4a.csv","legacy","#757575","low","4","Jazzy James","3.1.9","0","a","NA","space","space","space","a","NA","951","NA","101826","10008","16159","951","NA","2","legacy","1024","2","48000","-16","experiment","4","even","absent","129358","129358","NA","NA","1288","129342","143802","144318","1313","103156","113181","144318","145271","NA","143786","Fraction component detection task","9","10503","9","yes","1280"
"100","100","1123.7","1123.7","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","0","0","0","9","0","0","9","9","0","0","0","9","9","0","9","Thu Apr 26 09:53:39 2018","#757575","low","3","The main experiment item","yes","","experiment.osexp","/Users/tom/github/sft-fraction/procedure","no","mono","no","24","no","white","no","yes","800","legacy","9","9","0","/Users/tom/github/sft-fraction/results/data/subject-4a.csv","legacy","#757575","low","4","Jazzy James","3.1.9","0","a","NA","space","space","space","a","NA","734","NA","101826","10008","16159","734","NA","2","legacy","1024","2","48000","-16","experiment","4","even","absent","129358","129358","NA","NA","1288","129342","145355","145872","1313","103156","113181","145872","146608","NA","145340","Fraction component detection task","10","11237","10","yes","1280"
