"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions1","correct_instructions2","correct_instructions3","correct_keyboard_response","correct_response","count_block_loop","count_block_sequence","count_end_of_experiment","count_error","count_experiment","count_experimental_loop","count_fixation_dot","count_fraction","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_rest","count_trial_sequence","datetime","denomColor","denomSalience","denominator","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","fontDenom","fontNum","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block_loop","live_row_experimental_loop","logfile","mouse_backend","numColor","numSalience","numerator","opensesame_codename","opensesame_version","repeat_cycle","response","response_end_of_experiment","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_rest","response_time","response_time_end_of_experiment","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","response_time_rest","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_block_loop","time_block_sequence","time_end_of_experiment","time_error","time_experiment","time_experimental_loop","time_fixation_dot","time_fraction","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_rest","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","11217","11217","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Wed May  2 09:04:42 2018","#000000","high","8","The main experiment item","yes","","exp2.osexp","/Users/tom/github/sft-fraction/exp2","mono","Zapfino","no","mono","no","24","no","white","no","yes","800","legacy","0","0","0","/Users/tom/github/sft-fraction/exp2/data/subject-2a.csv","legacy","#757575","low","6","Jazzy James","3.1.9","0","l","NA","space","space","space","l","NA","11217","NA","115152","12630","5829","11217","NA","2","legacy","1024","2","48000","-16","experiment","2","even","present","135087","135087","NA","NA","1384","135070","135376","135893","1420","116591","129239","135893","147121","NA","135353","Fraction component detection task","1","11217","1","yes","1280"
"100","100","6461","6461","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","0","0","0","1","0","0","1","1","0","0","0","1","1","0","1","Wed May  2 09:04:42 2018","#000000","high","2","The main experiment item","yes","","exp2.osexp","/Users/tom/github/sft-fraction/exp2","mono","Zapfino","no","mono","no","24","no","white","no","yes","800","legacy","1","1","0","/Users/tom/github/sft-fraction/exp2/data/subject-2a.csv","legacy","#757575","low","3","Jazzy James","3.1.9","0","a","NA","space","space","space","a","NA","1705","NA","115152","12630","5829","1705","NA","2","legacy","1024","2","48000","-16","experiment","2","even","absent","135087","135087","NA","NA","1384","135070","147233","147750","1420","116591","129239","147750","149456","NA","147217","Fraction component detection task","2","12922","2","yes","1280"
"100","100","4982","4982","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","0","0","0","2","0","0","2","2","0","0","0","2","2","0","2","Wed May  2 09:04:42 2018","#000000","high","4","The main experiment item","yes","","exp2.osexp","/Users/tom/github/sft-fraction/exp2","mono","Zapfino","no","mono","no","24","no","white","no","yes","800","legacy","2","2","0","/Users/tom/github/sft-fraction/exp2/data/subject-2a.csv","legacy","#757575","low","8","Jazzy James","3.1.9","0","l","NA","space","space","space","l","NA","2024","NA","115152","12630","5829","2024","NA","2","legacy","1024","2","48000","-16","experiment","2","even","present","135087","135087","NA","NA","1384","135070","149552","150070","1420","116591","129239","150070","152096","NA","149536","Fraction component detection task","3","14946","3","yes","1280"
"100","100","4098","4098","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","0","0","0","3","0","0","3","3","0","0","0","3","3","0","3","Wed May  2 09:04:42 2018","#757575","low","7","The main experiment item","yes","","exp2.osexp","/Users/tom/github/sft-fraction/exp2","Zapfino","mono","no","mono","no","24","no","white","no","yes","800","legacy","3","3","0","/Users/tom/github/sft-fraction/exp2/data/subject-2a.csv","legacy","#000000","high","2","Jazzy James","3.1.9","0","l","NA","space","space","space","l","NA","1446","NA","115152","12630","5829","1446","NA","2","legacy","1024","2","48000","-16","experiment","2","even","present","135087","135087","NA","NA","1384","135070","152188","152705","1420","116591","129239","152705","154152","NA","152170","Fraction component detection task","4","16392","4","yes","1280"
"100","100","3572.2","3572.2","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","0","0","0","4","0","0","4","4","0","0","0","4","4","0","4","Wed May  2 09:04:42 2018","#000000","high","4","The main experiment item","yes","","exp2.osexp","/Users/tom/github/sft-fraction/exp2","mono","mono","no","mono","no","24","no","white","no","yes","800","legacy","4","4","0","/Users/tom/github/sft-fraction/exp2/data/subject-2a.csv","legacy","#000000","high","4","Jazzy James","3.1.9","0","a","NA","space","space","space","a","NA","1469","NA","115152","12630","5829","1469","NA","2","legacy","1024","2","48000","-16","experiment","2","even","absent","135087","135087","NA","NA","1384","135070","154241","154762","1420","116591","129239","154762","156233","NA","154220","Fraction component detection task","5","17861","5","yes","1280"
"100","100","3155.33333333","3155.33333333","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","0","0","0","5","0","0","5","5","0","0","0","5","5","0","5","Wed May  2 09:04:42 2018","#000000","high","3","The main experiment item","yes","","exp2.osexp","/Users/tom/github/sft-fraction/exp2","mono","mono","no","mono","no","24","no","white","no","yes","800","legacy","5","5","0","/Users/tom/github/sft-fraction/exp2/data/subject-2a.csv","legacy","#000000","high","3","Jazzy James","3.1.9","0","a","NA","space","space","space","a","NA","1071","NA","115152","12630","5829","1071","NA","2","legacy","1024","2","48000","-16","experiment","2","even","absent","135087","135087","NA","NA","1384","135070","156319","156840","1420","116591","129239","156840","157913","NA","156299","Fraction component detection task","6","18932","6","yes","1280"
"100","100","3115.85714286","3115.85714286","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","0","0","0","6","0","0","6","6","0","0","0","6","6","0","6","Wed May  2 09:04:42 2018","#757575","low","3","The main experiment item","yes","","exp2.osexp","/Users/tom/github/sft-fraction/exp2","Zapfino","Zapfino","no","mono","no","24","no","white","no","yes","800","legacy","6","6","0","/Users/tom/github/sft-fraction/exp2/data/subject-2a.csv","legacy","#757575","low","8","Jazzy James","3.1.9","0","l","NA","space","space","space","l","NA","2879","NA","115152","12630","5829","2879","NA","2","legacy","1024","2","48000","-16","experiment","2","even","present","135087","135087","NA","NA","1384","135070","157993","158512","1420","116591","129239","158512","161393","NA","157977","Fraction component detection task","7","21811","7","yes","1280"
"100","100","2890.25","2890.25","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","0","0","0","7","0","0","7","7","0","0","0","7","7","0","7","Wed May  2 09:04:42 2018","#757575","low","7","The main experiment item","yes","","exp2.osexp","/Users/tom/github/sft-fraction/exp2","Zapfino","mono","no","mono","no","24","no","white","no","yes","800","legacy","7","7","0","/Users/tom/github/sft-fraction/exp2/data/subject-2a.csv","legacy","#000000","high","4","Jazzy James","3.1.9","0","l","NA","space","space","space","l","NA","1311","NA","115152","12630","5829","1311","NA","2","legacy","1024","2","48000","-16","experiment","2","even","present","135087","135087","NA","NA","1384","135070","161476","161992","1420","116591","129239","161992","163305","NA","161459","Fraction component detection task","8","23122","8","yes","1280"
"100","100","2682.88888889","2682.88888889","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","l","0","0","0","8","0","0","8","8","0","0","0","8","8","0","8","Wed May  2 09:04:42 2018","#757575","low","3","The main experiment item","yes","","exp2.osexp","/Users/tom/github/sft-fraction/exp2","Zapfino","Zapfino","no","mono","no","24","no","white","no","yes","800","legacy","8","8","0","/Users/tom/github/sft-fraction/exp2/data/subject-2a.csv","legacy","#757575","low","7","Jazzy James","3.1.9","0","l","NA","space","space","space","l","NA","1024","NA","115152","12630","5829","1024","NA","2","legacy","1024","2","48000","-16","experiment","2","even","present","135087","135087","NA","NA","1384","135070","163391","163910","1420","116591","129239","163911","164937","NA","163370","Fraction component detection task","9","24146","9","yes","1280"
"100","100","2497.1","2497.1","#808080","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","a","0","0","0","9","0","0","9","9","0","0","0","9","9","0","9","Wed May  2 09:04:42 2018","#000000","high","2","The main experiment item","yes","","exp2.osexp","/Users/tom/github/sft-fraction/exp2","mono","mono","no","mono","no","24","no","white","no","yes","800","legacy","9","9","0","/Users/tom/github/sft-fraction/exp2/data/subject-2a.csv","legacy","#000000","high","2","Jazzy James","3.1.9","0","a","NA","space","space","space","a","NA","825","NA","115152","12630","5829","825","NA","2","legacy","1024","2","48000","-16","experiment","2","even","absent","135087","135087","NA","NA","1384","135070","165018","165535","1420","116591","129239","165535","166361","NA","165002","Fraction component detection task","10","24971","10","yes","1280"
